student_id,mean_attendance,std_attendance,mean_assignment,std_assignment,mean_midterm,std_midterm,mean_final,std_final,mean_gpa,std_gpa,gpa_range,mean_study_hours,std_study_hours,max_gpa_drop,attendance_score_corr,avg_extracurricular,has_part_time,inconsistency_label
STU20200029,64.37,3.18,69.13,2.54,70.15,3.7,72.67,3.82,2.84,0.1,0.31,10.05,2.2,-0.02,0.62,3.0,0,0
STU20230030,74.07,2.49,97.13,2.16,98.3,2.76,92.53,2.79,3.83,0.06,0.16,13.17,2.08,0.16,0.09,4.0,1,0
STU20200031,75.42,3.45,93.43,5.28,95.9,4.25,96.12,3.5,3.82,0.12,0.38,13.15,1.64,0.05,0.08,2.83,1,0
STU20220032,67.35,23.94,86.47,14.36,60.18,23.12,59.95,16.01,2.67,0.44,1.27,9.83,9.29,0.93,0.3,2.0,1,1
STU20220033,65.62,21.5,68.03,23.62,54.0,23.84,52.3,20.45,2.27,0.55,1.77,17.13,9.35,0.94,0.13,2.5,1,1
STU20230034,84.83,11.92,56.27,28.28,61.93,22.83,56.67,31.47,2.34,0.63,2.03,17.05,9.23,0.78,-0.49,2.83,0,1
STU20200035,100.0,0.0,100.0,0.0,99.33,1.28,100.0,0.0,3.99,0.02,0.05,11.4,1.37,0.04,0.0,3.33,0,0
STU20200036,88.07,3.79,67.42,3.49,70.53,5.68,73.5,7.04,2.84,0.19,0.61,12.0,1.53,0.15,0.66,3.17,0,0
STU20220037,67.83,11.06,86.33,15.27,77.05,18.41,89.62,16.16,3.38,0.55,1.44,18.98,5.2,1.42,0.11,3.83,1,1
STU20220038,70.85,10.36,78.73,16.79,86.47,15.63,64.22,23.11,3.03,0.3,0.98,19.17,4.28,0.62,-0.17,3.33,1,1
STU20230039,96.93,3.12,59.15,2.44,58.87,3.34,58.6,4.62,2.36,0.12,0.37,7.47,1.58,0.09,-0.0,4.17,1,0
STU20210040,70.62,2.99,77.03,0.97,81.4,2.19,75.33,3.47,3.12,0.05,0.13,18.18,2.36,0.1,0.4,2.5,1,0
STU20210041,90.8,9.2,70.62,23.61,65.63,24.52,98.9,2.46,3.21,0.33,0.97,4.72,4.99,0.5,-0.35,3.33,0,1
STU20200042,99.4,1.34,59.4,2.09,59.25,4.95,64.95,6.35,2.46,0.1,0.3,14.57,2.01,0.17,0.82,2.67,1,0
STU20200043,70.57,3.92,94.5,3.56,96.18,3.85,97.92,2.59,3.86,0.11,0.29,12.33,1.36,0.13,0.52,1.83,1,0
STU20200044,73.37,3.35,69.38,5.54,64.45,3.56,68.0,3.35,2.68,0.09,0.25,12.55,1.06,0.25,-0.47,2.67,1,0
STU20230045,86.43,7.7,48.87,23.13,36.57,24.5,54.43,17.23,1.87,0.62,1.81,13.75,5.79,1.67,0.56,2.17,1,1
STU20200046,86.53,5.0,83.22,4.24,84.55,3.91,83.27,5.63,3.35,0.13,0.39,12.63,1.84,0.12,0.65,1.33,1,0
STU20200047,92.43,4.27,63.87,4.31,62.2,4.97,63.1,7.93,2.52,0.18,0.5,21.37,1.92,0.16,0.47,0.67,1,0
STU20210048,73.45,4.49,84.6,3.82,88.62,6.6,85.35,4.5,3.45,0.15,0.38,19.85,1.05,0.26,0.38,3.17,0,0
STU20220049,98.88,1.69,76.62,7.12,79.47,6.96,73.48,10.65,3.05,0.29,0.87,16.98,0.69,0.54,0.21,2.83,1,0
STU20210050,63.73,4.21,65.05,3.26,63.18,2.72,64.95,7.06,2.58,0.16,0.5,24.5,2.97,0.26,0.11,2.83,1,0
STU20200051,79.63,1.71,73.45,2.85,71.95,4.99,70.62,4.44,2.87,0.09,0.3,9.48,1.15,0.2,0.19,1.67,1,0
STU20230052,80.22,9.31,63.18,23.9,74.57,21.24,63.93,17.34,2.7,0.31,0.81,17.75,8.11,0.62,-0.82,2.5,1,1
STU20200053,75.67,14.89,44.12,24.02,62.77,21.86,75.62,12.48,2.53,0.3,0.91,27.02,5.91,0.68,-0.67,3.0,1,1
STU20200054,77.28,3.75,65.93,2.95,65.2,5.68,64.8,2.84,2.61,0.08,0.26,14.65,2.18,0.19,-0.28,3.33,1,0
STU20200055,91.1,5.1,72.75,3.2,73.05,2.81,76.98,5.12,2.98,0.12,0.35,13.18,1.59,0.16,0.31,3.67,1,0
STU20220056,91.07,3.32,87.48,3.48,86.52,4.09,87.77,5.51,3.49,0.08,0.22,9.37,0.96,0.14,-0.65,1.83,1,0
STU20220057,78.0,13.91,59.75,22.38,66.38,21.7,52.82,23.08,2.37,0.48,1.39,13.7,3.74,1.36,0.03,2.83,1,1
STU20230058,94.67,3.0,79.92,4.57,86.5,6.15,87.87,3.73,3.41,0.13,0.34,16.42,0.97,0.15,-0.13,2.5,1,0
STU20230059,65.4,4.06,77.73,6.82,72.0,7.27,75.2,7.28,2.99,0.25,0.59,21.27,2.12,0.12,0.77,2.67,1,0
STU20230060,65.58,16.76,75.2,26.06,92.03,6.09,64.8,21.42,3.08,0.39,1.24,10.82,6.09,0.77,-0.67,2.5,1,1
STU20220061,72.82,3.28,89.98,4.23,92.9,5.09,86.28,5.04,3.58,0.14,0.4,13.7,1.47,0.35,-0.07,3.0,1,0
STU20220062,66.18,5.71,67.3,6.85,68.8,5.82,67.15,4.17,2.71,0.14,0.38,16.35,2.15,0.12,0.57,3.17,1,0
STU20200063,81.17,4.14,68.53,2.31,66.8,5.29,71.68,7.53,2.77,0.19,0.57,13.52,1.36,0.18,0.16,3.33,1,0
STU20210064,79.55,17.09,67.97,12.67,75.93,23.87,68.32,27.27,2.84,0.46,1.24,5.75,5.35,0.79,-0.76,1.5,1,1
STU20210065,87.45,9.23,84.07,13.76,73.95,22.54,82.8,24.85,3.2,0.5,1.58,24.05,3.88,0.95,0.12,4.0,1,1
STU20210066,66.33,4.34,93.23,3.31,94.12,5.0,91.53,3.07,3.71,0.13,0.37,14.28,1.86,0.32,0.73,3.33,1,0
STU20210067,77.35,14.44,57.27,22.91,48.25,13.78,50.28,19.36,2.05,0.39,1.07,18.9,7.97,0.69,-0.58,3.17,0,1
STU20200068,94.15,2.56,84.12,2.88,78.15,5.5,80.87,4.58,3.23,0.13,0.33,16.47,1.44,0.32,-0.38,3.67,1,0
STU20200069,78.77,3.44,75.53,3.49,74.72,4.31,76.28,3.73,3.02,0.11,0.34,3.83,1.22,0.18,0.25,1.67,0,0
STU20220070,80.8,2.58,70.12,2.86,70.35,4.33,70.83,5.48,2.82,0.14,0.4,21.37,0.97,0.17,-0.01,2.33,1,0
STU20210071,81.98,13.77,76.57,24.42,46.02,18.21,73.02,26.89,2.58,0.59,1.63,17.07,7.06,1.55,-0.28,1.5,1,1
STU20200072,98.1,2.06,94.88,2.36,95.52,3.5,96.53,4.96,3.83,0.1,0.33,15.62,1.56,0.09,0.37,3.0,1,0
STU20220073,85.08,12.47,57.15,15.88,51.43,19.69,65.17,17.54,2.34,0.4,1.22,9.93,7.75,0.91,0.2,1.67,1,1
STU20230074,69.58,14.53,76.13,17.92,87.13,12.87,89.18,15.24,3.41,0.39,1.17,20.55,6.71,0.76,-0.44,1.67,1,1
STU20230075,76.23,11.52,63.87,22.68,60.7,23.53,76.57,21.66,2.72,0.44,1.28,13.48,4.42,1.18,0.03,2.33,1,1
STU20230076,72.87,1.87,59.67,2.65,61.27,3.89,61.18,4.45,2.43,0.09,0.26,20.5,2.41,0.11,-0.53,2.0,1,0
STU20200077,90.53,4.62,79.87,3.29,77.25,3.53,81.28,8.18,3.18,0.17,0.49,14.88,2.01,0.16,0.42,3.33,0,0
STU20210078,85.95,5.0,76.38,2.51,79.72,4.17,74.83,4.84,3.08,0.11,0.34,16.87,1.54,0.07,0.73,1.5,1,0
STU20230079,85.03,4.76,58.27,4.93,52.58,5.6,52.62,7.05,2.16,0.18,0.56,11.92,1.76,0.16,0.67,2.33,1,0
STU20220080,59.15,18.16,66.88,29.35,47.58,23.66,68.0,22.88,2.42,0.65,2.06,21.02,6.48,1.52,-0.06,3.33,0,1
STU20220081,88.6,12.31,80.6,13.09,74.7,26.41,92.15,11.22,3.33,0.57,1.65,19.27,7.09,0.08,0.36,3.5,1,1
STU20200082,93.5,2.27,53.65,1.86,55.0,5.67,54.48,3.85,2.18,0.13,0.35,13.63,1.26,0.07,-0.3,2.33,1,0
STU20200083,65.13,14.76,72.65,17.6,55.6,22.62,66.55,24.75,2.57,0.55,1.42,20.73,8.53,1.24,0.31,3.17,1,1
STU20200084,74.52,15.19,89.98,15.02,84.65,14.73,93.98,8.63,3.59,0.4,1.09,7.55,8.87,1.09,-0.31,4.33,1,1
STU20220085,64.88,15.85,56.57,11.96,50.43,23.84,67.75,19.41,2.35,0.44,1.04,18.68,5.47,0.98,-0.25,2.33,1,1
STU20220086,78.88,4.44,55.58,4.26,54.93,6.34,51.72,6.09,2.15,0.19,0.49,13.87,1.83,0.28,0.26,2.5,1,0
STU20220087,79.52,14.6,63.25,29.49,37.88,29.27,72.98,14.4,2.33,0.46,1.14,12.87,7.26,0.76,-0.19,2.83,1,1
STU20230088,92.5,12.1,51.13,20.94,55.92,18.8,47.45,17.07,2.05,0.15,0.42,6.05,5.47,0.15,0.28,2.83,1,1
STU20200089,53.98,2.71,70.6,4.56,71.28,5.35,76.2,4.3,2.92,0.11,0.28,20.0,1.69,0.11,-0.35,2.67,1,0
STU20200090,80.35,2.24,74.95,1.54,77.33,4.81,71.03,3.67,2.97,0.13,0.43,11.0,1.83,0.14,-0.3,2.33,1,0
STU20200091,87.9,5.48,86.77,15.77,76.17,20.49,76.45,18.73,3.16,0.32,0.97,15.88,6.43,0.49,0.23,2.83,1,1
STU20230092,79.65,3.15,62.85,4.19,61.58,7.43,62.53,3.8,2.49,0.08,0.24,6.23,1.07,0.24,-0.16,3.33,0,0
STU20200093,70.93,20.19,50.62,14.1,60.32,22.54,62.23,26.39,2.35,0.48,1.27,19.47,6.7,0.94,-0.74,2.17,1,1
STU20230094,82.52,4.62,68.3,2.71,65.65,5.65,68.63,4.02,2.7,0.09,0.25,13.6,2.73,0.23,0.28,2.67,1,0
STU20200095,61.27,11.42,76.13,19.51,65.37,23.26,74.77,24.14,2.87,0.7,2.01,13.08,5.9,1.03,0.38,2.17,1,1
STU20220096,66.17,13.85,54.97,21.8,45.82,25.99,80.77,16.56,2.48,0.56,1.56,13.2,8.1,0.86,-0.64,2.33,1,1
STU20230097,100.0,0.0,84.73,4.17,85.03,4.85,86.42,2.29,3.42,0.12,0.31,17.02,2.06,0.16,0.0,2.5,1,0
STU20210098,65.98,11.36,80.43,15.85,83.68,21.25,89.13,16.28,3.4,0.2,0.58,23.57,5.73,0.31,-0.28,2.83,0,1
STU20230099,90.85,3.33,38.0,7.68,34.55,8.05,40.87,4.28,1.52,0.2,0.51,17.33,1.74,0.23,0.38,2.0,1,0
STU20200100,90.77,1.42,67.62,3.51,69.9,2.98,68.07,8.38,2.74,0.14,0.41,9.1,1.22,0.27,0.18,2.5,0,0
STU20200101,88.28,2.98,79.67,3.57,78.85,9.04,80.55,4.26,3.19,0.16,0.49,19.15,2.41,0.15,-0.22,2.33,1,0
STU20210102,80.62,6.16,78.5,3.42,81.05,4.22,79.87,8.27,3.2,0.19,0.56,10.88,2.44,0.25,0.52,2.5,1,0
STU20230103,85.6,12.02,55.22,7.36,55.13,21.58,56.32,28.31,2.23,0.68,1.88,23.37,8.78,1.67,0.39,2.83,0,1
STU20210104,67.82,15.07,58.75,22.6,60.43,23.04,69.52,27.84,2.55,0.51,1.17,10.48,6.16,1.14,0.6,2.17,1,1
STU20220105,46.82,7.45,39.68,16.12,69.9,4.13,44.33,32.41,2.08,0.48,1.32,21.42,7.19,1.32,-0.72,2.5,0,1
STU20230106,83.87,14.63,88.38,15.55,80.98,11.67,93.1,12.38,3.5,0.38,1.19,13.77,6.13,0.79,-0.37,1.0,1,1
STU20230107,72.58,1.88,67.23,3.56,67.52,7.38,66.2,4.64,2.68,0.16,0.5,15.0,1.51,0.38,-0.11,2.33,1,0
STU20230108,81.58,4.69,97.37,3.64,92.47,4.29,91.32,3.66,3.73,0.13,0.39,10.47,2.51,0.08,0.72,2.33,1,0
STU20200109,93.05,5.34,61.75,18.87,84.85,5.11,74.0,17.98,2.99,0.36,1.11,14.53,7.58,0.87,0.18,2.33,1,1
STU20230110,52.12,3.44,75.75,3.95,77.97,3.62,76.18,5.3,3.07,0.14,0.47,20.82,1.47,0.3,0.46,2.83,1,0
STU20210111,97.48,2.35,68.57,5.15,69.32,4.86,70.63,3.41,2.79,0.12,0.36,13.77,1.0,0.19,0.3,2.5,0,0
STU20210112,81.95,3.39,75.95,2.28,74.03,2.73,76.03,3.63,3.01,0.09,0.28,15.77,2.51,0.19,-0.28,2.83,0,0
STU20230113,84.15,13.63,86.4,12.4,71.72,28.47,86.3,18.19,3.25,0.64,1.65,31.0,8.1,1.33,0.1,3.5,1,1
STU20220114,74.95,3.07,67.2,4.38,68.48,2.18,68.35,3.91,2.72,0.03,0.1,23.08,1.64,0.05,0.0,2.17,1,0
STU20220115,70.35,3.9,75.47,4.33,73.4,5.44,76.32,7.71,3.0,0.16,0.42,16.83,2.22,0.16,0.06,2.33,1,0
STU20230116,75.47,3.33,53.62,2.23,54.63,6.06,53.73,5.7,2.16,0.14,0.41,18.98,2.44,0.22,0.5,2.67,1,0
STU20210117,61.1,15.3,60.85,13.13,57.98,31.83,69.43,23.67,2.53,0.85,2.27,12.35,3.38,1.85,0.77,2.5,1,1
STU20220118,71.13,5.08,91.62,4.56,95.4,3.86,95.78,4.83,3.78,0.14,0.39,12.27,1.83,0.24,0.37,4.33,1,0
STU20230119,86.65,4.46,98.15,2.77,96.55,3.09,98.47,1.14,3.91,0.07,0.17,20.12,2.21,0.16,0.22,1.67,1,0
STU20210120,84.55,2.78,86.83,3.34,85.1,4.02,87.9,7.4,3.46,0.16,0.47,17.83,2.4,0.18,0.33,3.0,1,0
STU20230121,93.27,5.07,52.35,3.74,48.27,2.64,50.27,4.39,2.01,0.11,0.28,13.37,2.98,0.28,0.66,4.67,0,0
STU20210122,96.77,3.81,65.58,5.87,62.23,4.82,61.33,6.47,2.51,0.21,0.56,23.13,1.01,0.09,0.72,2.5,1,0
STU20220123,80.5,14.35,66.4,21.54,81.37,20.56,70.75,23.13,2.94,0.52,1.35,21.2,5.76,1.2,0.18,2.33,1,1
STU20200124,80.57,12.98,75.12,14.73,79.73,21.66,95.73,9.54,3.4,0.23,0.62,11.45,7.36,0.62,0.55,2.0,1,1
STU20220125,85.13,4.76,82.13,7.3,80.7,4.91,80.12,3.35,3.24,0.12,0.35,23.25,1.2,0.01,0.15,2.5,0,0
STU20220126,85.07,10.74,98.3,3.8,70.78,20.99,93.68,13.55,3.47,0.19,0.59,17.05,8.84,0.42,-0.64,2.33,1,1
STU20200127,97.6,2.24,93.48,4.69,94.6,5.29,93.43,5.64,3.75,0.13,0.35,25.8,3.11,0.14,0.83,3.67,1,0
STU20200128,100.0,0.0,73.53,5.52,74.77,6.35,76.28,3.36,3.0,0.14,0.38,19.53,2.99,0.17,0.0,4.0,1,0
STU20200129,76.17,4.22,73.47,4.64,73.18,4.89,73.57,5.73,2.94,0.16,0.49,9.5,0.99,0.24,0.2,2.0,1,0
STU20200130,79.7,1.33,49.97,6.31,53.38,4.12,50.38,2.92,2.06,0.1,0.28,12.87,1.41,0.28,-0.34,2.5,1,0
STU20200131,77.95,1.98,88.7,2.25,88.63,4.55,88.67,5.3,3.54,0.07,0.24,11.2,2.75,0.1,-0.24,1.83,1,0
STU20210132,79.85,19.62,64.13,21.48,67.95,20.55,62.43,21.63,2.59,0.58,1.43,13.63,6.54,0.62,-0.25,2.67,1,1
STU20220133,81.5,3.29,76.73,4.65,75.48,1.99,78.33,4.1,3.08,0.08,0.24,26.38,2.41,0.24,-0.64,2.17,1,0
STU20230134,85.37,2.13,69.42,4.18,70.83,5.34,67.7,4.97,2.77,0.15,0.44,11.42,2.21,0.04,-0.54,1.83,1,0
STU20200135,87.38,3.08,60.93,7.47,70.05,5.31,61.68,9.03,2.58,0.26,0.71,11.28,2.45,0.6,-0.63,1.83,1,0
STU20220136,94.2,3.52,72.67,5.68,73.47,5.06,72.77,4.42,2.92,0.12,0.32,8.72,2.98,0.27,0.27,3.0,1,0
STU20200137,89.52,9.32,69.22,23.59,66.17,23.41,59.3,16.63,2.57,0.6,1.79,20.55,6.43,1.28,-0.88,3.67,1,1
STU20230138,85.57,3.07,97.98,2.86,98.48,3.39,97.05,2.14,3.91,0.04,0.11,4.2,1.38,0.03,-0.05,2.67,1,0
STU20230139,58.12,21.92,62.53,14.84,65.9,22.86,77.0,18.56,2.78,0.42,1.21,9.57,7.14,0.68,0.35,2.83,1,1
STU20220140,86.02,5.62,70.17,6.1,75.32,8.28,70.67,5.89,2.88,0.23,0.72,20.45,1.96,0.1,0.57,2.83,1,0
STU20220141,61.65,3.14,64.9,3.69,67.15,3.56,67.83,4.6,2.67,0.11,0.29,8.38,1.8,0.1,0.32,2.83,1,0
STU20230142,83.75,2.8,72.78,4.41,69.68,8.07,71.73,3.99,2.85,0.19,0.48,14.15,2.48,0.21,0.42,1.33,1,0
STU20230143,80.03,20.28,59.12,26.03,77.7,19.57,70.08,23.1,2.8,0.52,1.42,15.95,8.33,1.39,0.47,0.83,1,1
STU20210144,66.22,19.79,65.15,22.1,55.68,14.58,64.55,22.49,2.46,0.46,1.26,4.77,6.97,0.82,-0.07,1.67,1,1
STU20200145,86.55,10.65,58.28,19.34,50.2,16.09,75.15,22.64,2.49,0.52,1.55,19.43,8.21,0.8,0.75,2.67,1,1
STU20210146,67.1,16.9,59.67,22.52,51.18,22.84,65.17,29.06,2.36,0.65,1.95,19.42,5.74,1.95,0.76,2.5,1,1
STU20200147,100.0,0.0,69.25,2.78,72.13,7.56,70.8,3.19,2.83,0.15,0.46,8.87,1.36,0.08,0.0,2.83,1,0
STU20220148,80.75,12.38,74.23,24.37,58.08,18.06,53.4,11.53,2.41,0.47,1.47,11.57,5.83,1.47,0.24,2.83,1,1
STU20230149,83.48,3.09,79.2,3.42,80.77,4.24,78.38,7.44,3.18,0.16,0.51,20.55,1.92,0.38,-0.29,1.83,1,0
STU20230150,94.02,3.71,71.22,3.5,69.95,4.53,70.37,7.38,2.82,0.18,0.63,3.93,1.57,0.4,-0.12,2.83,1,0
STU20210151,81.37,1.75,78.37,4.46,74.53,6.78,73.38,4.56,3.0,0.16,0.52,19.52,2.11,0.32,0.87,2.17,1,0
STU20230152,84.67,3.83,81.63,2.81,82.7,8.61,80.98,4.95,3.27,0.12,0.33,17.15,1.99,0.14,-0.4,2.5,1,0
STU20230153,88.33,2.63,75.07,1.8,75.93,2.2,77.62,6.63,3.06,0.08,0.24,2.27,0.33,0.12,0.95,2.67,1,0
STU20220154,91.57,2.6,99.78,0.48,99.77,0.52,99.92,0.19,3.99,0.01,0.03,11.23,2.56,0.01,-0.47,1.83,1,0
STU20200155,83.78,15.98,93.52,14.5,88.1,16.84,90.57,14.78,3.62,0.58,1.53,22.07,4.33,0.76,0.31,1.67,1,1
STU20210156,97.25,2.76,80.28,2.78,76.95,6.56,77.83,3.0,3.12,0.13,0.39,15.57,0.88,0.05,0.35,1.5,0,0
STU20230157,82.83,3.52,70.95,4.31,69.38,5.65,74.98,3.87,2.88,0.03,0.1,10.27,1.94,0.04,-0.29,2.5,1,0
STU20230158,96.37,2.49,82.93,4.06,84.88,3.39,81.55,3.3,3.32,0.12,0.36,20.2,2.59,0.02,0.69,3.5,1,0
STU20200159,92.27,10.83,81.48,19.04,87.62,16.93,73.38,19.24,3.22,0.45,1.44,16.02,10.3,1.44,-0.45,2.67,0,1
STU20200160,76.0,19.86,52.87,19.02,60.17,24.85,52.35,25.08,2.21,0.7,1.89,9.5,6.5,1.25,0.59,3.0,1,1
STU20210161,99.0,1.12,80.48,5.19,78.18,5.65,79.15,6.75,3.17,0.18,0.59,12.63,0.59,0.17,0.14,1.67,1,0
STU20220162,78.67,3.03,85.73,4.88,82.6,4.48,88.68,5.54,3.43,0.16,0.44,19.43,1.07,0.37,0.53,2.17,1,0
STU20200163,98.93,1.9,93.75,3.79,89.73,6.24,91.72,4.26,3.66,0.13,0.41,9.87,1.44,0.23,0.6,3.5,1,0
STU20220164,92.17,4.33,84.9,3.74,86.2,4.17,85.75,5.47,3.43,0.12,0.36,9.88,1.07,0.15,0.7,2.0,1,0
STU20230165,77.63,3.96,68.97,3.08,69.37,3.92,69.53,4.09,2.77,0.11,0.34,9.28,1.94,0.08,-0.73,3.0,0,0
STU20220166,97.67,5.22,69.62,21.35,59.65,16.94,84.55,22.09,2.88,0.26,0.77,5.03,5.09,0.57,-0.31,2.17,1,1
STU20210167,73.7,3.51,68.97,4.8,71.03,5.58,71.75,2.7,2.83,0.15,0.46,15.22,0.7,0.0,0.9,2.17,1,0
STU20220168,90.4,3.35,70.43,3.95,69.23,4.25,72.32,3.04,2.83,0.09,0.25,10.75,0.75,0.11,0.91,1.0,1,0
STU20230169,80.3,3.78,65.23,5.36,66.0,4.99,68.43,4.69,2.67,0.11,0.35,20.38,1.83,0.25,-0.17,2.33,1,0
STU20230170,91.87,11.33,72.08,20.38,77.97,25.4,75.93,17.37,3.02,0.35,1.13,25.4,5.85,0.06,-0.41,3.5,0,1
STU20230171,66.92,1.91,61.02,3.11,60.28,2.74,61.32,2.38,2.44,0.07,0.21,18.43,2.48,0.16,-0.44,2.83,1,0
STU20200172,70.27,6.76,80.33,5.53,79.87,6.28,77.63,5.03,3.17,0.19,0.55,21.58,1.62,0.34,0.42,3.0,1,0
STU20220173,61.75,11.66,70.58,20.27,76.78,16.09,81.4,21.18,3.08,0.34,0.88,8.03,6.69,0.61,-0.55,2.83,1,1
STU20220174,78.53,4.22,62.27,7.34,63.25,4.47,63.95,4.34,2.53,0.16,0.34,9.55,1.57,0.04,0.39,2.17,1,0
STU20200175,73.42,4.09,77.05,1.8,81.72,3.15,80.53,8.31,3.2,0.1,0.3,11.88,2.07,0.21,0.65,2.5,0,0
STU20210176,85.8,15.99,62.98,23.26,66.7,29.32,79.8,19.6,2.84,0.55,1.63,19.6,4.18,1.63,-0.56,2.33,1,1
STU20200177,57.63,16.08,59.3,21.22,57.8,17.81,71.68,22.29,2.55,0.41,1.27,22.65,5.24,0.75,0.57,3.33,1,1
STU20210178,78.03,4.59,67.77,4.0,72.4,4.46,73.43,2.07,2.87,0.08,0.23,2.42,0.51,0.18,-0.16,2.5,1,0
STU20200179,95.02,3.77,84.67,5.19,84.02,5.27,86.33,4.95,3.4,0.17,0.48,16.53,2.59,0.48,0.57,2.17,1,0
STU20210180,78.43,5.17,77.65,3.05,83.12,5.33,77.73,5.85,3.18,0.17,0.51,25.02,1.13,0.51,0.79,3.67,1,0
STU20220181,58.6,5.91,87.68,6.01,90.82,5.63,88.52,5.48,3.56,0.18,0.58,25.02,2.09,0.05,0.63,2.67,1,0
STU20230182,68.53,3.9,76.57,6.15,75.38,4.63,79.08,4.5,3.08,0.12,0.34,10.37,1.64,0.07,-0.15,3.17,1,0
STU20230183,85.53,2.44,76.27,6.08,80.95,5.2,76.92,4.87,3.12,0.17,0.47,10.52,1.84,0.19,0.87,2.33,0,0
STU20220184,69.48,11.15,88.9,11.97,93.55,9.35,86.1,15.21,3.58,0.34,0.94,15.38,4.48,0.8,-0.47,2.0,0,1
